USER,INTENT,Slot-Value,Value,B-I-O Tag
"I think display size will not be a point of concern. but yes, see for at least 5 inches.",Inform,Display-5,5,O O B-Display O O O O O O O O O O O O O O B-Display O
"No, I don't have any budget constraints. I just want to give her a fabulous phone.",Inform,NA,NA,O O O O O O O O O O O O O O O O
What are its other features?,Request,NA,NA,O O O O O
"Oh, but RAM is significantly less. at least 4 GB is required.",Inform,RAM-4,4,O O B-Ram O O O O O B-Ram O O O
What is its cost?,Request,Cost-UNK,UNK,O O O B-Cost
420 EUR? Is it a phone or laptop? It is too costly. I can spend a maximum of 300 EUR.,Reject,NA,NA,B-Cost O O O O O O O O O O O O O O O O O B-Cost O
"No, it is still out of my pocket.",Inform,NA,NA,O O O O O O O O
"OK, please book it for her, address is 43254785",BookingReq,NA,NA,O O O O O O O O O
"Yes, sure.",Request,NA,NA,O O
Thank you for the assistance.,Close,NA,NA,O O O O O
565,,,,
"Good Evening. I want to buy a laptop, but I don't know which laptop is best, can you help me buy a laptop?",LaptopSelReq,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O
It should be 15.6 inch large display size and better internal RAM and 1TB HDD disk space.,Inform,Display-15.6,15.6,O O O B-Display O O B-Display O O O O B-Ram O O I-Storage O O
I have been buying other devices from Acer. I'd like to buy an Acer device now also.,Inform,Brand-Acer,Acer,O O O O O O O B-Brand O O O O O B-Brand O O O
What is about disk space?,Request,Storage-UNK,UNK,O O O O B-Storage
Is 1TB HDD is suitable for daily use.?,Request,NA,NA,O O I-Storage O O O O O
What is its Graphics card?,Request,GPU-UNK,UNK,O O O B-Gpu O
What about its processor?,Request,Processor-UNK,UNK,O O O B-Processor
Is it a great option for me?,Request,NA,NA,O O O O O O O
"One more critical thing, What is its price?",Request,Cost-UNK,UNK,O O O O O O O B-Cost
"OK, it will do the job. Can you please do the Billing? And also please give some discount.",BookingReq,NA,NA,O O O O O O O O O O O O O O O O O O
"OK, than please proceed Billing.",BookingReq,NA,NA,O O O O O
Thank you.,Close,NA,NA,O O
566,,,,
"Hi, can you suggest a good camera?",SuggestionReq,NA,NA,O O O O O O O
I need a camera which is lightweight and captures beautiful pictures.,Inform,Weight-UNK,UNK,O O O O O O B-Weight O O O O
Amazing! I would like to know more about the Casio Exilim EX: S500.,Inform,Model-Exilim EX: S500,Exilim EX: S500,O O O O O O O O O B-Model I-Model I-Model I-Model
Will this be a good birthday gift?,Request,NA,NA,O O O O O O O
Tell me a little bit more about this one.,Request,NA,NA,O O O O O O O O O
What is about the Normal focus range?,Request,NormalFocusRange-UNK,UNK,O O O O O B-Focus O
Will the Casio Exilim EX: S600 be a better choice than Casio Exilim EX: S500?,Request,"Model-Exilim EX: S500, Model-Exilim EX: S600","Exilim EX: S500, Exilim EX: S600",O O B-Model I-Model I-Model I-Model O O O O O B-Model I-Model I-Model I-Model
What about their prices?,Request,Cost-UNK,UNK,O O O B-Cost
Woah! That is a lot of money for both. but I want those which gives high-resolution photos.,Inform,Resolution-High,High,O O O O O O O O O O O O O O O B-Resolution O
I will take the Casio Exilim EX: S600. My friend would be pretty happy with my selection.,Inform,Model-Exilim EX: S600.,Exilim EX: S600.,O O O O B-Model I-Model I-Model I-Model O O O O O O O O O
"OK, than, please proceed with Billing.",BookingReq,NA,NA,O O O O O O
Ok! Dont mind,Inform,NA,NA,O O O
Amazing. Thank you for your time and assistance.,Close,NA,NA,O O O O O O O O
567,,,,
Good afternoon.Can you help me?,Request,NA,NA,O O O O O
I want to buy a smartphone that is currently in trend. Can you show me that type of phone?,Inform,NA,NA,O O O O O O O O O O O O O O O O O O O
It should be an android and 4G phone with dual sim feature.,Inform,NA,NA,O O O O B-OS O O O O B-Sim B-Sim O
Please explain their other specifications and features?,Inform,NA,NA,O O O O O O O
"OK, That is great. What is its colour?",Request,Colour-UNK,UNK,O O O O O O O B-Colour
"Yaa, but I have to look at another model, than choose which one is better?",Request,Model-UNK,UNK,O O O O O O O O B-Model O O O O O O
"OK, And What is about their internal RAM and colour?",Request,"RAM-UNK
Colour-UNK","UNK, 
UNK",O O O O O O O B-Ram O B-Colour
What do you think which one is better?,Request,NA,NA,O O O O O O O O
"OK, than please proceed with Billing.",BookingReq,NA,NA,O O O O O O
No: No. you have to only proceed with Billing of Zenfone 3 Zoom ZE553KL.,BookingReq,Model-Zenfone 3 Zoom ZE553K,Zenfone 3 Zoom ZE553K,O O O O O O O O O O B-Model I-Model I-Model I-Model
"Yes, sure.",Inform,NA,NA,O O
Thank you for the assistance.,Close,NA,NA,O O O O O
568,,,,
"Hello, I want to buy a smartphone which I had to see at a party last night. buy, I don't know much more about this phone. Can you help me?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Yaa. I have only pictures of that phone. Here is that picture. https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg,Request,NA,NA,O O O O O O O O O O O O O
"OK, Can you tell me much about their specifications and features?",Request,NA,NA,O O O O O O O O O O O
What is about their RAM and internal RAM?,Request,RAM-UNK,UNK,O O O O B-Ram O O B-Storage
"Only 0.004882813 GB RAM. Oh, That is too normal. And it also has less battery. Don't you have large RAM? And also tell their model.",Request,"Battery-UNK
Model-UNK","UNK, 
UNK",O B-Ram O B-Ram O O O O O O O O O O B-Battery O O O O B-Ram O O O O B-Model
"Yaa, I trusted only Asus Brand.",Inform,Brand-Asus,Asus,O O O O B-Brand O
What is its colour?,Request,Colour-UNK,UNK,O O O B-Colour
"OK, That is nice. but What is about other specifications?",Request,NA,NA,O O O O O O O O O O
Is it take a good picture?,Request,NA,NA,O O O O O O
"OK, That is too good. Can you show me?",Gratitude,NA,NA,O O O O O O O O O
Wow. That is too good. Please proceed with Billing.,BookingReq,NA,NA,O O O O O O O O O
"NO: NO. You have to proceed only with this last model. Firstly, I want to buy the phone which I show you. buy, it is not impressive.",Reject,Model-UNK,UNK,O O O O O O O O O O B-Model O O O O O O O O O O O O O O O O
Thank you.,Close,NA,NA,O O
569,,,,
"Hiii, Can you help me?",SuggestionReq,NA,NA,O O O O O
I want to purchase a smartphone.Can you show me some good phones?,Inform,NA,NA,O O O O O O O O O O O O
"I never purchase any phone, so I have less idea about brand and specifications. Can you help me?",Inform,Brand-UNK,UNK,O O O O O O O O O O O B-Brand O B-Feature O O O O
"It should have a strong battery backup, most essential large internal memory because I always have a storage problem. My storage is always packed in my current phone.",Inform,"Battery-UNK, Storage-UNK","UNK, UNK",O O O O O B-Battery O O O O O O O O O O O B-Storage O O B-Storage O O O O O O O
What is the brand?,Request,Brand-UNK,UNK,O O O B-Brand
Okay. What is the colour?,Request,Colour-UNK,UNK,O O O O B-Colour
"Great. Please, proceed and book this for me.",BookingReq,NA,NA,O O O O O O O O
"Yes, sure.",Inform,NA,NA,O O
Thank you for the assistance.,Close,NA,NA,O O O O O
570,,,,
I want to buy a laptop that is currently in trend. Can you show me that type of laptop?,LaptopSelReq,NA,NA,O O O O O O O O O O O O O O O O O O O
Should it have a large display size and intel processor?,Request,"Display-UNK, Processor-UNK","UNK, UNK",O O O O O B-Display O O B-Processor O
"Yes, I only trust on HP brand.",Inform,Brand-HP,HP,O O O O O B-Brand O
"OK, That is great. What is about disk space?",Request,Storage-UNK,UNK,O O O O O O O O B-Storage
Tell me a little bit more about this one.,Request,NA,NA,O O O O O O O O O
Just 3! Can you show a phone with a user rating of 4?,Reject,Rating-4,4,O B-Rating O O O O O O O O B-Rating O B-Rating
What is about graphics-card?,Request,GPU-UNK,UNK,O O B-Gpu O
Is 1TB HDD is suitable for daily use.?,FeedbackReq,NA,NA,O O I-Storage O O O O O
"OK, than, please proceed with billing.",BookingReq,NA,NA,O O O O O O
Even better.,Inform,NA,NA,O O
Amazing. Thank you for your time and assistance.,Close,NA,NA,O O O O O O O O
571,,,,
"Hello, I have been looking for some good smartphones. Can you please help me?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O O
"My family condition is deplorable. So, I want the best mobile on a low budget. Not more than 200 EUR.",Inform,Budget-200,NA,O O O O O O O O O O O O O O O O O O B-Cost O
Should it be an android and 4G or 5G phone and also a dual sim?,Inform,NA,NA,O O O O B-OS O O O O O O O O B-Sim B-Sim
Tell me a bit about their camera and other specifications.,Request,Camera-UNK,NA,O O O O O O O O O O
Is it take a good picture?,Request,NA,NA,O O O O O O
That is nice. What is about the price?,Request,Cost-UNK,NA,O O O O O O O B-Cost
"OK, That is great. What is its colour?",Request,Colour-UNK,NA,O O O O O O O O
Please explain their other specifications and features?,Request,NA,NA,O O O O O O O
Can you show me their photos?,Request,NA,NA,O O O O O O
"OK, than, please proceed with Billing.",BookingReq,NA,NA,O O O O O O
Even better.,Inform,NA,NA,O O
Amazing. Thank you for your time and assistance.,Close,NA,NA,O O O O O O O O
572,,,,
"Good Evening, can you help me in buying a tablet?",TabletSelReq,NA,NA,O O O O O O O O O O
"I am planning to buy a tablet, so could you please help me with that.",SuggestionReq,NA,NA,O O O O O O O O O O O O O O O
"I am using the HP brand these days, but I am not satisfied with its features.",Inform,Brand-HP,NA,O O O O B-Brand O O O O O O O O O O O
"Wow, That is good. It has excellent battery backup. Tell me in detail about other specifications.",Gratitude,Battery-UNK,NA,O O O O O O O B-Battery O O O O O O O O
"OK, That is great. What is its colour?",Request,Colour-UNK,NA,O O O O O O O O
That is perfect. Could you please tell me the price of this phone and the mode of payment?,Request,Cost-UNK,NA,O O O O O O O O O B-Cost O O O O O O O O
Do you have laptops from different brands in a price range of 2000-4000 EUR?,Request,Brand-UNK,NA,O O O O O O O O O B-Cost O O O O
Does it have Nvidia graphics?,Request,Graphic-Nividia,NA,O O O B-Brand O
Do you have a discount on these laptops?,Request,NA,NA,O O O O O O O O
I will wait till the next price drop.,Inform,NA,NA,O O O O O O B-Cost O
"No, Thanks. You have to proceed only with the Billing of the tablet.",Inform,NA,NA,O O O O O O O O O O O O O
Thank you for your time and assistance.,Close,NA,NA,O O O O O O O
573,,,,
"Good morning, I want to purchase a LG smartphone. Will you help me to choose better one?",PhoneSelReq,Brand-LG,LG,O O O O O O O B-Brand O O O O O O O O O
Can you suggest me a good model?,Request,Model-UNK,UNK,O O O O O O B-Model
Tell me about its camera quality and colour.,Request,"Camera-UNK,
Colour-UNK","UNK,
UNK",O O O O B-Camera O O B-Colour
"Well! I am a good photographer,13 mexapixel is not sufficent for me.",Reject,Camera-13,13,O O O O O B-Resolution O O O O O O
"Well, I don't think those people know anything about photography or so.",Feedback,NA,NA,O O O O O O O O O O O O
"Okay, and what about its battery backup ? I want a phone with good battery backup.",Request,Battery-UNK,UNK,O O O O O B-Battery O O O O O O O O B-Battery O
How much is it going to cost me?,Request,Cost-UNK,UNK,O O O O O O B-Cost O
"Okay then, I will trust your advice and take this phone with me.",BookingReq,NA,NA,O O O O O O O O O O O O O
"Yes, I want to purchase this one.",BookingReq,NA,NA,O O O O O O O
"No, I will come later.",Close,NA,NA,O O O O O
Your welcome.,Gratitude,NA,NA,O O
574,,,,
"Hey, I am looking for a smartphone, will you assist me?",PhoneSelReq,NA,NA,O O O O O O O O O O O
I want a phone with atleast 15 megapixel camera. I am a professional photographer. I believe my phone should atleast have 15 megapixel camera.,Inform,Camera-15,15,O O O O O O B-Camera O O O O O O O O O O O O O O B-Resolution O B-Camera
"I have a budget of 300 EUR, Is there any phone available in this range?",Inform,Cost-300,300,O O O O O B-Cost O O O O O O O O O
I want to go with LG. Can you tell me the more features of LG V10 Smart phone?,Inform,"Brand-LG,
Model-V10","LG, V10",O O O O O B-Brand O O O O O O O O B-Brand B-ModelO O
"Actually, I spent my most of my time on phones, and having 3000MAH battery is not enough for me.",Reject,NA,NA,O O O O O O O O O O O O O B-Battery O O O O O
"Still, I am in doubt it will run a day long.",Reject,NA,NA,O O O O O O O O O O O
"Okay, what about its camera quality?",Request,NA,NA,O O O O O O
"Well! it statisfied my camera requirement, I want to know about its colour.",Request,Colour-UNK,UNK,O O O O B-Camera O O O O O O O B-Camera
"Okay! light weight phones are in quite demand. One more thing, I want to know what is its RAM?",Request,Ram-UNK,UNK,O O B-Weight O O O O O O O O O O O O O O O B-Ram
"I have to work on more than one platform at one time, do you think having 4GB RAM is enough?",FeedbackReq,NA,NA,O O O O O O O O O O O O O O O O B-RAM O O O
Good! How much it will cost to me?,Request,Cost-UNK,UNK,O O O O O B-Cost O O
Great! it is in my budget. Can you book it for me?,BookingReq,NA,NA,O O O O O O O O O O O O
Thankyou so much for helping me.,Close,NA,NA,O O O O O O
575,,,,
"Good evening, can you help me to buy a smartphone?",PhoneSelReq,NA,NA,O O O O O O O O O O
"My previous smartphone had 2GB RAM, this time I want phone with 4GB RAM.",Inform,Ram-2,2,O O O O B-RAM O O O O O O O B-RAM O
"My previous phone was of Gionee, and it was trustable phone, Can you show me some from Gionee?",Inform,Brand-Gionee,Gionee,O O O O O B-Brand O O O O O O O O O O O B-Brand
What is its colour?,Request,Colour-UNK,UNK,O O O B-Colour
"I like only this colour smartphone, do you have this colour ? https://www. maxbhi.com/images/thumbnails/400/400/detailed/2157/full_body_housing_for_zopo_colour_f5_gold_maxbhi.com_95856.jpg",Request,Colour-UNK,UNK,O O O O B-Colour O O O O O B-Colour O O O
What about its feautures weather it is same as model A1 or differnent?,Request,NA,NA,O O O O O O O O O O O O O
"Okay, how much it is going to cost me?",Request,Cost-UNK,UNK,O O O O O O O B-Cost O
I think it is very expensive for me.,Reject,NA,NA,O O O O O O O O
I don't think it is a fair deal for me.,Reject,NA,NA,O O O O O O O O O O
Is that so? Tell me about its camera quality because my previous phone clicked good picture.,Request,Camera-UNK,UNK,O O O O O O O B-Camra O O O O O O O O
Well it sounds good for me. Now I am ready to proceed with billing.,Close,NA,NA,O O O O O O O O O O O O O O
"No, I want to purchase this only.",BookingReq,NA,NA,O O O O O O O
Thank you so much.,Gratitude,NA,NA,O O O O
576,,,,
"Hi, I want to purchase a smartphone. Will you guide me to choose better one?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O O O
I want it to gift my son. He is a good mobile photographer. I am looking for a phone with good camera for him.,Inform,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O
I don't have much ideas about phones. I just want a very good phone for him.,Inform,NA,NA,O O O O O O O O O O O O O O O O
My son is a good photographer. He wants to make his carrier in photography. He spends more time in clicking pictures.,Inform,NA,NA,O O O O O O O O O O O O O O O O O O O O O
My son's favourite colour is black. If it is available in black colour it is good for him.,Inform,Colour-BLACK,BLACK,O O O B-Colour O B-Colour O O O O O B-Colour B-Colour O O O O O
"No, he likes only black colour. I do not think he will like to go with Gunmetal colour.",Reject,Colour-BLACK,BLACK,O O O O B-Colour B-Colour O O O O O O O O O O B-Colour B-Colour
What are the features of this phone?,Request,Feature-UNK,UNK,O O O B-Feature O O O
Now this is perfect for my son.,Feedback,NA,NA,O O O O O O O
"No, I am statisfied with this, will you please proceed with booking?",BookingReq,NA,NA,O O O O O O O O O O O O
Thanks for assisting me.,Gratitude,NA,NA,O O O O
577,,,,
Good morning. I am looking for a smartphone.,PhoneSelReq,NA,NA,O O O O O O O O
"Yes, I want to go with Micromax.",Inform,Brand-Micromax,Micromax,O O O O O O B-Brand
"Yes, it must have 3 GB RAM, and good battery backup.",Inform,Ram-3,3,O O O O B-Ram O B-Ram O O B-Battery O
"I want worthy product, show me all the three smartphones.",Inform,Budget-UNK,UNK,O O O O O O O O O O
Sound's impressive. Show me the other two also.,Request,NA,NA,O O O O O O O O
I want to go with Microsoft Lumia 950 XL D. Tell me the features of this phone.,Request,Feature-UNK,UNK,O O O O O B-Brand I-Model I-Model I-Model O O O O B-Feature O O O
Okay. But 5 Megapixel seconday camera is not good quality in my opinion.,Reject,Camera-5,5,O O B-Camera O O B-Camera O O O O O O O
Still. I am in doubt it will click good picture or not? because I want a phone with good camera qualty.,Reject,NA,NA,O O O O O O O O O O O O O O O O O O O O O
Okay. I trust you. But 3340 battery is also not enough?,Reject,Battery-3340,3340,O O O O O O B-Battery O O O O
And what about its colour?,Request,Colour-UNK,UNK,O O O O B-Colour
"Wow! it is my favourite colour, what about its display size.",Request,Display-UNK,UNK,O O O O O B-Colour O O O B-Display O
Well! this statisfy my all requirement. I want to proceed with billing,BookingReq,NA,NA,O O O O O O O O O O O O
No.Thankyou so much .,Gratitude,NA,NA,O O O O
578,,,,
Good morning.,PhoneSelReq,NA,NA,O O
I am looking for a smartphone for my sister.,PhoneSelReq,NA,NA,O O O O O O O O O
"She does'nt have any ideas about smartphone. But she wants android phone for online classes.
Show me some model which have good display size.",Inform,Display-UNK,UNK,O O O O O O O O O O B-OS O O O O O O O O O O O B-DisplayO
"According to my views, 369 display size is litte less for her.",Reject,NA,NA,O O O O O O O O O O O O
Now it is good for her. Tell me the more features of this phones.,Request,Feature-UNK,UNK,O O O O O O O O O O B-Feature O O O
Okay. What is it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
It is out of my budegt. Is there any discount available on this phone?,Reject,NA,NA,O O O O O O O O O O O O O O
"I am not able to purchase this. Show me other one, which is less expensive?",Reject,NA,NA,O O O O O O O O O O O O O O O
Okay. What is its colour.,Request,Colour-UNK,UNK,O O O O B-Colour
"No, She doesn't like this colour.",Reject,Colour-UNK,UNK,O O O O O B-Colour
Still I am in doubt.Because she likes only black and white colour.,Reject,Colour-UNK,UNK,O O O O O O O O B-Colour O B-Colour B-Colour
"Okay.I trust you. But if she does'nt like it, I will exchange it.",Inform,NA,NA,O O O O O O O O O O O O O
Okay. I want to proceed with Billing.,BookingReq,NA,NA,O O O O O O O
"No, this time it is enough.",Close,NA,NA,O O O O O O
Thankyou so much for assisting me.,Gratitude,NA,NA,O O O O O O
579,,,,
Good morning.,PhoneSelReq,NA,NA,O O
I am looking for a 4G smartphone.,PhoneSelReq,NA,NA,O O O O O O O
The phone must be from Meizu brand. I trust only this brand.,Inform,Brand-Meizu,Meizu,O O O O O B-Brand O O O O O O
I have a budget of 400 EUR. If any phone come under this budget it will be good for me.,Inform,Budget-400,400,O O O O O I-GPU O O O O O O O O O O O O O O
What are their price?,Request,Cost-UNK,UNK,O O O B-Cost
Pro 6s is out of my budget. I want to saw other two phones.,Request,NA,NA,O I-Model O O O O O O O O O O O O
What is the battery backup of these phones?,Request,Battery-UNK,UNK,O O O B-Battery O O O O
M3 Max is better in terms of battery and it is in budget. i want to know more about M3 max.,Request,Battery-UNK,UNK,O O O O O O O B-Battery O O O O O O O O O O O O O
Ram is not enough for me. It does not work smoothly.,Reject,RAM-UNK,UNK,B-Ram O O O O O O O O O O
If it has 4GB RAM. then it is good.,FeedbackReq,RAM-4,4,O O O B-Ram B-Ram O O O O
Okay. And about its colour.,Request,Colour-UNK,UNK,O O O O B-Colour
Wow ! this is new type of golden colour. I have heard about it.,Feedback,NA,NA,O O O O O O O B-Colour O O O O O O
Now it statisfy my all requirement.,Close,NA,NA,O O O O O O
"No, I want to proceed with billing.",BookingReq,NA,NA,O O O O O O O
Thankyou so much,Gratitude,NA,NA,O O O
580,,,,
Hello. Can you help me buying a laptop?,LaptopSelReq,NA,NA,O O O O O O O O
I am looking to buy a laptop for Graphic design task.,Inform,Graphic-UNk,UNK,O O O O O O O O B-Gpu O O
It should have at least 256 GB NVMe M. 2 SSD/1 TB HDD disk space and Windows OS.,Inform,NA,NA,O O O O O O O I-Storage O O I-Storage I-Storage I-Storage O O O B-OS O
Okay. How much is it going to cost me?,Request,Cost-UNK,UNK,O O O O O O O B-Cost O
It is expensive for me. Will you show another one which is less expensive?,Reject,NA,NA,O O O O O O O O O O O O O O
How much it cost to me?,Request,Cost-UNK,UNK,O O O B-Cost O O
Okay. I don't want to spend this much money. Can you show me the other one.,Reject,NA,NA,O O O O O O O O O O O O O O O O
Do you have any another laptop which comes in range of 3000 to 4000.,Inform,Budget-3000-4000,3000 to 4000,O O O O O O O O O O O B-Cost O B-Cost
It is perfect. It comes under my budget.,Gratitude,NA,NA,O O O O O O O O
Does it has Intel graphics?,Request,GPU-UNK,UNK,O O O B-Processor B-Gpu
What is its display size?,Request,Display size-UNK,UNK,O O O B-Display O
14 inch display size is not enough for me?,Reject,NA,NA,O O O O O O O O O
Okay. If you assure me then I don't have any problem. Can you tell me other features too?,Request,Feature-UNK,UNK,O O O O O O O O O O O O O O O O B-Feature O
Can I get discount on this labtop?,Request,Discount-UNK,UNK,O O O O O O O
Okay. Then book it for me?,BookingReq,NA,NA,O O O O O O
No.Thankyou so much.,Gratitude,NA,NA,O O O
581,,,,
Good morning.,PhoneSelReq,NA,NA,O O
I want to purchase a HTC phone.,PhoneSelReq,Brand-HTC,HTC,O O O O O B-Brand O
"No, I don't have idea will you help me to choose better one?",Request,NA,NA,O O O O O O O O O O O O O
My budget is in between 200 to 300 EUR.,Feedback,Budget-200-300,200-300,O B-Budget O O O B-Cost O B-Cost O
Are they dual sim phone?,Request,Sim-Dual,Dual,O O B-Sim B-Sim O
Which among these are latest?,Request,Release Date-UNK,UNK,O O O O O
Can you tell me about the camera resolution of both of these phone?,Request,Camera-UNK,UNK,O O O O O O B-Camera B-Resolution O O O O O
What about their colours?,Request,Colour-UNK,UNK,O O O B-Colour
"Okay, I would like to go with Desire 816. could you elobrate its features?",Request,Feature-UNK,UNK,O O O O O O O B-Model B-Model O O O O B-Feature
I am not satisfied with RAM.,Reject,RAM-UNK,UNK,O O O O O B-Feature
"But after sometime, It is sure, it will start creating problem.",Reject,NA,NA,O O O O O O O O O O O
"Still, I am in doubt.",Reject,NA,NA,O O O O O
"Now, it is fine for me.",Gratitude,NA,NA,O O O O O O
"No, book it for me.",BookingReq,NA,NA,O O O O O
Thankyou for assiting me,Gratitude,NA,NA,O O O O
582,,,,
Good morning. I want a smartphone with good battery backup.,PhoneSelReq,NA,NA,O O O O O O O O B-Battery O
"Yes, I trust only samsung brand.",Inform,Brand-Samsung,Samsung,O O O O B-Brand O
I am looking for good camera quality phone.,Request,Camera-UNK,UNK,O O O O O B-Camera O O
"Okay, what about the colour of Samsung Glaxy Tab 2 10?",Request,Colour-UNK,UNK,O O O O B-Colour O B-Brand B-Model I-Model I-Model I-Model
Tell me the more features of that phone.,Request,Feature-UNK,UNK,O O O O B-Feature O O O
3 Megapixel is quite unsufficent for me.,Reject,NA,NA,O O O O O O O
"Okay, if you ensure it then I am statisfied. But 3GB RAM is quite unsufficent for me.
Because I want a phone which can also handle my office work.",Reject,NA,NA,O O O O O O O O O O B-RAM O O O O O O O O O O O O O O O O O O
"Okay, how much will it cost to me?",Request,Cost-UNK,UNK,O O O O O B-Cost O O
It does not match with my budget. if there is any discount availble ?,Reject,NA,NA,O O O O O O O O O O O O O O
"Okay,I am ready to proceed with billing.",BookingReq,NA,NA,O O O O O O O
No. Thankyou so much.,Gratitude,NA,NA,O O O O
583,,,,
Good morning.,PhoneSelReq,NA,NA,O O
I want a phone with more than 20 Megapixel camera.,Inform,Camera-20,20,O O O O O O O B-Camera O B-Camera
One of my friend suggested me to purchase for BLU brand phones.,Feedback,Brand-BLU,BLU,O O O O O O O O O B-Brand O O
"Okay, can you show me?",Request,NA,NA,O O O O O
Wow! it looks so nice tell me the more features of this phone?,Request,Feature-UNK,UNK,O O O O O O O O O B-Feature O O O
What about its RAM?,Request,RAM-UNK,UNK,O O O B-Ram
What is its price?,Request,Cost-UNK,UNK,O O O B-Cost
"According to me, having less RAM this phone is costly?",Reject,NA,NA,O O O O O O O O O O
Still it is expensive.,Reject,NA,NA,O O O O
Okay. I will trust. It is high time to grab this oppourtunity.,Gratitude,NA,NA,O O O O O O O O O O O O
We can proceed with billing.,BookingReq,NA,NA,O O O O O
Thankyou so much.,Gratitude,NA,NA,O O O
584,,,,
Good morning.,TabletSelReq,NA,NA,O O
I am looking for tablets for reading purposes.,Request,NA,NA,O O O O O O O O
"No, but can you suggest me any?",Request,Brand-UNK,UNK,O O O O O O O
"Yes, I have heard about this brand, do you have any tablet from this brand?",Request,NA,NA,O O O O O O O O O O O O O O O
Tell me the prices of all of these.,Request,Cost-UNK,UNK,O O O B-Prices O O O O
"Well, I am a photographer, I also need more pixel in my tablet for clicking good picture.",Request,Camera-UNK,UNK,O O O O O O O O O B-Camera O O O O O O O
I don't think 13 Megapixel is enough to click good picture.,Reject,NA,NA,O O O B-Display O O O O O O O
"Okay, what about its RAM?",Request,RAM-UNK,UNK,O O O O B-Ram
RAM is too less.,Reject,NA,NA,O O O O
"No, I Prefer to making notes while reading on tablet. How can I do these two task at same time.",Reject,NA,NA,O O O O O O O O O O O O O O O O O O O O
"Okay, what about its colour?",Request,Colour-UNK,UNK,O O O O B-Colour
"Wow, its my favourite colour.",Gratitude,Fav Colour-UNK,UNK,O O O O B-Colour
I want to proceed with booking.,BookingReq,NA,NA,O O O O O O
Thankyou so much,Gratitude,NA,NA,O O O
585,,,,
"Hello, I am looking for a smartphone for my personal use. Can you help me for this?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O O O O O
It should be under 250 EUR.,Inform,Cost-250,250,O O O O B-Cost O
"Sure, it can work for me but all I want is something black in colour.",Request,Colour-Black,Black,O O O O O O O O O O O O B-Colour O B-Colour
"Well, one with a good camera quality.",Request,Camera-UNK,UNK,O O O O O B-Camera O
Sounds interesting but is this smartphone available in black colour?,Request,Colour-UNK,UNK,O O O O O O O O B-Colour B-Colour
Do you have any other model in Samsung only?,Reject,Model-Samsung,Samsung,O O O O O O O B-Brand O
"No, black colour is my favourite. I want it in black colour only.",Reject,Colour-Black,Black,O B-Colour B-Colour O O O O O O O B-Colour B-Colour O
Sure. but is it available with same features?,Request,Feature-UNK,UNK,O O O O O O O B-Feature
How much will it cost to me?,Request,Cost-UNK,UNK,O O O O B-Cost O O
"Well, it seems a good for me.",Gratitude,NA,NA,O O O O O O O
"Well, I am statisfied with all the features of this phone, I want to proceed with billing.",BookingReq,NA,NA,O O O O O O O O O O O O O O O O O
Thankyou so much.,Gratitude,NA,NA,O O O
586,,,,
"Hello, I want a good camera phone for my wife.",PhoneSelReq,NA,NA,O O O O O O O O O O
She is just a learner now. May be Oppo could work fine for her.,Feedback,Brand-OPPO,OPPO,O O O O O O O O B-Brand O O O O O
"Yes, it should be in between 120 - 200EUR. along with that it must have good display size.",Request,Budget-120-200,120-200,O O O O O O B-Cost B-Cost O O O O O O O O B-Display O
I want to go with Oppo R9 plus.,Feedback,NA,NA,O O O O O B-Brand O O
16 Megapixel is eligible to click good picture. Are you sure about this.,Reject,Camera-16,16,B-Camera O O O O O O O O O O O O
What about its RAM.,Request,RAM-UNK,UNK,O O O B-Ram
What about its battery?,Request,Battery-UNK,UNK,O O O B-Battery
"Actually, she is so busy women. She has no time to charge phone regulary.",Reject,NA,NA,O O O O O O O O O O O O O O
How long it will run after getting full charged.,Reject,NA,NA,O O O O O O O O O
"Okay, if you ensure me, then I will trust , what is the colour of this phone.",Request,Colour-UNK,UNK,O O O O O O O O O O O O O B-Colour O O O
"Yes, gold colour is her favourite colour, she definetly likes it.",Gratitude,NA,NA,O B-Colour B-Colour O O O O O O O O
"Okay, I want to make it reserve for me.",BookingReq,NA,NA,O O O O O O O O O
Thankyou so much for assesting me.,Gratitude,NA,NA,O O O O O O
587,,,,
"Hi, can you assist me in selecting an android phone?",PhoneSelReq,NA,NA,O O O O O O O O B-OS O
"Actually, I want it for my brother who loves playing games. So, I am looking for a gaming phone.",Inform,NA,NA,O O O O O O O O O O O O O O O O O O O
"Yes. The RAM should be 4GB, and also battery backup is nice.",Request,RAM-4,4,O O B-Ram O O B-Ram O O B-Battery O O O
"Yes, and be sure the price not must be extend from 200 euro.",Request,Cost-200,200,O O O O O B-Cost O O O O O B-Cost O
"Both phone sound decent , I want to know the price of LAVA Z10?",Request,NA,NA,O O O O O O O O O O B-Cost O B-Brand O
What about its display size and colour?,Request,"Display-UNK, Colour-UNK","UNK, UNK",O O O O O O O
