USER,Persuasion Strategy
"You are right. Also, I want to buy a Vivo V5 plus",3
There is no such need. I have researched about it. Book it for me.,3
Thank you for your help.,3
519,
Hi. I am here hoping you can solve my problem.,0
I had a phone which was ever favourite to me. It was stolen by someone and now I want the same phone model back.,5
Huawei is the brand and I have no idea about the model?,5
It has 4 GB RAM and a dual primary camera.,5
"It's colour, and that was the reason why I loved the phone. It was a unique shade of Gold.",5
Can you show it to me? I will identify the model by its looks.,5
"OMG!! Yes, That is the one.",5
That is great. I bought it in so less the last time.,5
"No, I will wait for some discount again. Thank you",5
520,
Hi. I have a query.,0
I wanted to buy a gift for my cousin. What all is available with you?,0
"He is a travel blogger. He also makes vlogs and posts them on YouTube. My cousin does everything on his phone. So, I think phone is good.",3
buy I can also look for a camera. Can you suggest me one.,3
There is none. Suggest me something good buy with pixels more than 10 or 11 and within a range of 400 EUR.,3
Sounds nice. What is the cost?,3
That is okay. I would like to explore a low budget mobile phone as well?,3
I want a simple phone for my cousin for calling and messaging and Just a low budget phone.,3
Is it under 200 EUR?,3
Well. It's decided than. Book both of the products for me.,3
Thank you for helping me out.,3
521,
Good evening. I am looking for a phone with latest android.,3
I would like to have anything from samsung.,3
No specific models buy any model within range of 550 EUR can do fine for me.,3
"Yes, it should be a recently launched model.",3
Can you show me the picture?,3
What is the battery capacity?,3
How about the RAM?,3
I would like to know about the camera quality,3
Any other feature?,3
What is the price,3
Please book it for me.,3
Thank You!,3
522,
"Hi, I want a phone from vivo brand.",5
"No, just show me the best quality phone of vivo brand.",5
In between 400 EUR.,5
It should have Crown Gold colour with good quality of camera and a dual SIM.,5
Can you tell me about its features.,5
May I know which year was this released in?,5
"Okay, do you also Have laptop?",5
i want i5 processor,5
Tell me about its features.,5
what is its price?,5
"Alright, I would buy it than. Please proceed with billing.",5
"No, I want only vivo V5s. laptop is bit expensive. I will buy it later.",5
Thank you.,5
523,
Hello can you  assist me in buying a camera?,0
I am in need of a DSLR camera.,0
It should not weigh more than 950 g and price not exceeding 2000 EUR.,3
"I have used Nikon camera before. They were pretty good. So, I will go again with Nikon.",3
What is its price?,3
What about the rating?,3
"Okay, I am fine with this than.",3
I also wanted one laptop.,3
Yes i want Intel Core i3-7020U processor with 1TB HDD Disk space.,3
What is its price?,3
Okat please book it also.,3
Thank you,3
524,
Hello. I want to buy a phone. Can you help me?,0
Vivo phones are the best.,5
Good cameras. I am a selfie addict.,5
I don't have them in my mind. but camera is my main priority.,5
Okay. than show me the best phone that you have.,5
Don't mind that. Money isn't an issue.,5
In what colour do you have it?,5
What is the price?,5
Omg. That is so expensive. It's like the phone is not of gold colour buy Gold itself.,5
I doubt. Is it justifiable price or not.,5
Oh. This is fine than. I would like to buy this. Please book it.,5
Sure. Go ahead.,5
Thank you for helping me choose the best.,5
525,
Hi. Can you suggest me a something?,0
I want to buy a smartphone.,0
I want a phone with good camera.,3
"Yes, I am a budding Mobile photographer.",3
Around 500 EUR.,3
What do you suggest?,3
And what about the camera features?.,3
Nice. What is the price? Won't it be costly with so many features?,3
"Well, That is the budget limit. Not bad.",3
I will. What mode of payments do you have?,3
Okay. Thank you for your help.,3
526,
Hello. I am here to buy a laptop. Can you help me?,0
"I am a journalism student. I have been learning video editing software these days, That is why I need the laptop.",3
"Yes, Also I have heard that more is the RAM fast is the performance.",3
Oh. That would be great.,3
Any good brand will do.,3
HP is okay. Go ahead. Tell me more about the laptop.,3
Is it a good product?,3
"Still, I need some kind of assurance.",3
"Okay. Can you tell me about the disk space? That is kind of essential for me, too as well.",3
No. it doesn't. I would prefer SSD.,3
I am not sure if I want to buy this laptop anymore.,3
"No. That is not necessary. I want to think about it from a better perspective, and then I will return to you.",3
Thank you for your help.,3
527,
Good Morning. Can you spare me few minutes?,0
I have a query.,0
"A smartphone, I have heard it's good, buy I don't know anything much about it.",4
"Oppo F3 Plus, tell me everything that you know about this.",4
Wow. That is awesome.,4
I think I fell in love with this product.,4
What colours do you have available?,4
What? That is a girly colour.,4
"It's not a bad idea, and That girl's birthday is coming up. This phone can be her gift.",4
"It is expensive, let me think about it. I will tell you whatever I will end up deciding.",4
Keep me updated.,4
Thank you.,4
528,
Hello. Can you help me please?,0
I lost my phone.,0
I want to buy a low budget phone. Do you have it?,0
"If you think you could arrange something with the least possible money, do it. Please.",5
What about other features?.,5
Sounds nice. What else? Is it a lightweight phone?.,5
It seems too good to be valid for a low budget phone. It must be around 400 EUR.,5
Wow. This phone is fantastic. In what colour do you have it?,5
Awesome. Book it for me.,5
Thank You.,5
529,
"Hello, I am looking to buy a phone for me.",0
I want Moto Z Force. Can I know about it?,2
Yes. Please tell me the price.,2
It's too expensive.,2
"As compared to the price, its battery capacity is very less. Don't you have a model with 5000 mAh battery with lower price and having a dual camera.",2
It should not exceed 250 EUR.,2
Can you tell me about its features in details.,2
Price?,2
"Okay, please book it for me.",2
"No, Thanks.",2
530,
Good afternoon. Do you have smartphones?,0
I am looking for a phone with phenomenal camera. I want to buy it for my sister. She is a photographer.,1
No. but not more that 500 EUR.,1
"No, please show one that is really good.",1
Is that so? Please show me the model you are talking about.,1
Tell me about the secondary camera.,1
White will do. How much is the internal memory?,1
Not bad. What is the cost?,1
That is quite expensive.,1
I will buy it. Please book it for me.,1
No. Thank You.,1
531,
Hi. Can you help me buying a product?,0
It is a smartphone.,0
I want to go with Yu Yunicorn.,0
"The person who asked me to buy this for him knows everything, and he especially demanded to have this one.",4
Thank You. I also want to buy a good gaming phone.,4
"No, but I want it from Xiaomi brand.",4
None. Give me the best you have got.,4
What about other features? Are they any good?,4
What about Internal memory?.,4
And what will it cost?,4
Great. I will buy it. Book it for me.,4
Thank you for your assistance,4
532,
"Hello, I am looking to buy a phone for me.",0
It should have above 6000 mAh and 6 GB RAM.,3
Is it a good brand?,3
Can you tell me about its features.,3
"Oh, it is very expensive.",3
"But, I don't want to spend this much money. Can you show a model with same features buy at a lower price.",3
Price range in between 250 EUR.,3
Can you tell me about its features.,3
"Okay, please book it for me.",3
"No, Thanks.",3
533,
Good Evening. Do you have a minute?,0
I want to buy a smartphone. Someone told me you have all the brands.,0
"It is a Huawei phone, buy I don't know the name of the model.",4
The way it looks. The colour. Will it be helpful?,4
https://cdn.hum3d.com/wp-content/uploads/2017/03/10/Huawei_P10_Mystic_Silver_600_lq_0002-118x94.jpg,4
And other features?,4
Is it a lightweight phone? I would prefer lightweight.,4
What is the cost?,4
That is too much. Can't you lower the price?,4
"Okay, than. I will wait out for it to be cheaper.",4
That will be great. Thank you.,4
534,
Hi. I am here to buy a camera.,0
My first choice is Canon PowerShot A10. I am just a beginner.,5
Around 300 EUR. I guess that will be enough.,5
Sure. Tell me more about it.,5
What about the zoom range?,5
Not bad. It seems like good stuff for beginners.,5
That is okay. What is the price?,5
That sounds expensive for a camera with such limited features.,5
"Still, I don't feel it's worth buying.",5
"No. I have realised I don't know much about the camera, so I have difficulty choosing the best. I would do some research and contact you back.",5
Thank you for your help.,5
535,
Hello. Would you be able to help me?,0
I want to buy a gift for my grandson. He just started high school.,0
I guess a smartphone will be a good choice.,0
I think Asus might be a good choice.,4
"Around 500-600 EUR. Also, as I mentioned, I would prefer Asus phones.",4
Sure.,4
Does it have a good camera?,4
"That is good, but there is one more thing that I need a phone which has two sim slots.",4
Is it a lightweight phone? These days like youngsters like phones that are light in weight and thin in looks.,4
Great. Book this phone for me.,4
Thank you for your help.,4
536,
Hi. Do you have a minute?,0
I want to purchase a phone.,0
No. It would be a gift for my cousin.,0
"Well, it's the looks in which she is into. She does not care what brand.",5
"Anything that looks fancy, she would like it. Also, keep it within the average range.",5
"Yes, not more than 500 EUR.",5
Can you show it to me?,5
Wow. This phone looks pretty. It's like a different buy beautiful shade of gold.,5
And other features?,5
I like it. What is the price?,5
That is too much for this. Isn't there any discount?,5
Let me know when there is a season sale or something.,5
Thank you so much.,5
537,
Good Morning.,0
I am looking for a good camera.,1
Are they any good?,1
I see. Do you have any good model?,1
Okay. And what about the resolution?,1
What about the focus range?,1
What is the weight?,1
What is the cost?,1
Is there any discount?,1
"Okay, than. Book it for me.",1
Thank you for your assistance.,1
538,
Hi. Do you have a few minutes?,0
Can you help me buying a phone?,0
It has to be the HTC brand.,5
That is good. Suggest me something good.,5
Wow. That is awesome.,5
What colour do you have?,5
Sounds nice.,5
You are right. This phone looks quite gorgeous.,5
Is it lightweight?,5
"Well, tell me the cost than.",5
It's too expensive for me. I will wait out for the season sale.,5
Thank you,5
539,
Hi. Do you have smartphones?,0
Samsung phones.,5
"No, I don't have any specific model in mind. It would be great if you could suggest any.",5
What about its features?,5
I want a big screen.,5
How does it look?,5
"One more thing, I am a radio lover. There has to be a Radio system.",5
"No. It must be Samsung. Also, the display size should be more than what it is now or should remain the same.",5
"That won't be necessary, and I will come back later for the purchase. I am baffled right now.",5
Thank you for your help.,5
540,
Good afternoon. Can you help me?,0
I am here to buy something.,0
I want a tab for my personal use.,0
No. Recommend me whatever is best according to you.,4
Tell me more about it.,4
Is it an android?,4
I hope it looks as significant as its features.,4
Can you show it to me? I am not sure about the colour.,4
No. It looks awful. but only colour was not of my types .,4
I don't think so. I guess I will hold on for this model to be available in other colours.,4
Thank you.,4
541,
Hi. Can you help me?,0
I am here to buy a tab for my cousin.,0
Just Samsung. He will appreciate anything and everything from Samsung.,2
The most loyal customer you will ever meet.,2
That would be great.,2
"Not bad. I hope it's lightweight, and My cousin keeps everything on it. The heavy tab will hurt his arm.",2
"How does it look? Keep it limited to black, white or grey.",2
Awesome. What is the price?.,2
It's too expensive. I am not sure I can afford it.,2
"Still, I will wait for the price drop. Thank you.",2
542,
Good Evening. Do you have a minute to spare?,0
Kindly suggest to me a good low budget phone.,1
Go for your choice. Just keep it low range.,1
"Yes, That is enough. Look for something within this range.",1
That is nice.,1
I am a radio lover. I like the phone.,1
What are other features?,1
Ho much does it weigh?,1
And this phone is within 200 EUR?,1
"Well, I will wait for the discount sale. I have a feeling I will get it at a much lower price than.",1
"No, Thank you.",1
543,
Hi. I want to buy a camera.,0
I would like to have any good camera from Canon. Do you think it's a good choice?,5
Please suggest me a good model from Canon than.,5
That is great. And what about the focus range?,5
What is the price?,5
It's awesome. I need one more help.,5
Recommend me a low budget phone as well.,5
Not more than 300 EUR.,
Can you please be specific about its features?,5
I like it. In what colour do you have it?,5
That is good.,5
No. I am buying it. What is the cost?,5
Please book both of them for me.,5
Thank you for helping me out.,5
544,
Good Evening.,0
I have a query about a phone.,3
Vivo. And I don't know which model.,3
It has 16 megapixels primary and secondary camera.,3
It is of Gold colour. Will it help?,3
What if I can show you the reference photo?,3
https://drop.ndtv.com/TECH/product_database/images/712016104329AM_635_vivo_x7_plus.jpeg?downsize=*:180&output-quality=80&output-format=webp,3
Is that so?,3
Great. What is the cost?,3
Are you serious? That is way too expensive.,3
Not to me. Is there any discount?,3
"Well, them. I am not buying it.",3
I will do that. Thank you.,3
545,
Good morning. I want to buy a smartphone which have an head turning effect an everyone.,0
I am ready to spend any amount of money.,3
I have used Samsung but it doesn't have an head turning effect.,3
Then show me only the latest iPhones.,3
Which of these gives the best premium feeling?,3
"Tell me about its RAM, battery size and internal storage.",3
What all colour options are available with you?,3
Okay book it for me.,3
Thank you.,3
546,
Hii. Do you have a minute?,0
Someone told me you sell a camera. Is this true?,0
That is great. I am here to buy a Nikon camera.,4
Sure. What is it?,4
Why would you say so?,4
Well. Tell me about L12.,4
Okay. You are right.,4
This camera is a better option for sure.,4
"Yes, Book it for me.",4
Thank you for your assistance.,4
547,
Hello. Do you have a minute?,0
I am here to buy a phone.,0
I want a phone which is less than 500 EUR. Do you have it within this range?,0
I trust only Vivo. It's a good camera phone.,1
He started learning mobile photography. I thought it would be a good gift.,1
That would be nice.,1
Can you tell me about its features?,1
It's nice. What else?,1
And what colour is it available in?,1
"I am sure it does, but I think my grandson would instead prefer Black.",1
Don't you have Black in this model?,1
"Well, it's okay. I will gift him something else.",1
"No, leave it. I have made up my mind.",1
No. Thank you for your help.,1
548,
Hi. Can you help me.?,0
"I am in a bit of a hurry, and I lost my phone.",0
Can you suggest to me any good phone?,5
Samsung or Nokia. They are good.,5
Two sim slot. That is a must.,5
That won't do. I need better battery power.,5
What about Internal storage?,5
That is good. I like it.,5
How does it look? I am not so sure about silver.,5
Not bad. It looks elegant.,5
What is the price?,5
Okay. Thank you for your assistance.,5
549,
Good afternoon. Can you help me.?,0
Do you have camera?,0
I prefer Nikon. I hope it is available.,5
No. Please show a good one.,5
"Yes sure, buy show me in the range of 250 EUR.",5
But the resolution is not that good.Show me the one with better feature.,5
"Yes, sure. Take your time.",5
That is good. It will be easy to carry while travelling.,5
It's the same price as Coolpix 100.,5
I can see that. I am glad you told me about this one.,5
"Yes, Please book it for me.",5
Thank you for your help.,5
550,
"Hello. Help me, Please.",0
I want to buy a phone.,2
Anything. Just hurry up as I don't have much time to spare.,2
That is great. How much is the internal memory?,2
"So, What is the price?",2
That is okay.,2
What? No?,2
I don't need to. Black is my lucky colour.,2
That is not necessary. I like this model. Just let me know when it becomes available in Black.,2
Thanks a lot.,2
551,
Hi. Do you have a minute?,0
Please assist me with a phone.,0
"Sony Xperia XZ Premium, Do you have it?",4
I thoroughly researched about it. It helped.,4
"No. As I said, I know everything.",4
"Yes, let me know how much will I have to pay for it?",4
"With these features, I expected it to be expensive.",4
Show me any if different brand and in range of 500 EUR.,4
Okay. Suggest me a good phone then.,4
That is awesome. Won't it be expensive?,4
You are right. Thank you for your help.,4
552,
Hello. I am here to buy a laptop. Can you help me?,0
"15-da0035nx, That is the model name.",4
"Yes, it is of HP. I had one like this before. Lost it.",4
Good. Keep it aside. I am buying this.,4
I know. Do you also have phones?,4
I have a perfect model in mind. I am hoping you have it.,4
"A1 Plus of Gionee, That is the one I am looking for.",4
"Can you tell me about its features? My friend uses it, but I'm not knowing about it.",4
Does it have two sim slots?,4
That is so great because I am a radio lover.,4
What is the price?,4
That is amazing—so many great features in such less amount.,4
Yes. Please do the booking.,4
"Yes, Thank you.",4
553,
Good Evening.,0
I want to buy a phone.,0
Do you have HTC U11?,4
I want it in black.,4
No. I would prefer Black.,4
"Yes, That would be great.",4
"Yes, any shade of Black will do.",4
Wow. great features.,4
I hope it has a GPS.,4
Wao! Thats great,4
Absolutely. What is the price?,4
Okay. Book it for me.,4
Thank You.,4
554,
Hello and good morning. I want to buy a smartphone with release date in between 2015 to 2017,0
I want 64 GB Black colour in between 200 EUR.,3
What is its specification?,3
Great!! what is its price?,3
"Wow, it fit in my budget buy I heard BLU brand first time. Is this a good brand?",3
"Okay, pack it for me.",3
Yah i want one laptop also.,3
Yes i want Intel Core i3-7020U processor with 1TB HDD Disk space.,3
What is its price?,3
Okay please book it also.,3
Thank you,3
555,
"Hello, can you please help me choose a suitable smartphone for myself?",0
Please suggest to me a good smartphone brand.,0
"No, I don't have as of now but I have heard some good feedback about it from my friends on HTC brand. Please suggest me a good model from HTC.",1
Can you please specify about the features?,1
"I like the specs on this one, but I need a better primary camera.",1
"Yes, 16MP sounds good. How much is it going to cost me?",1
Is it available in black colour?,1
"Okay, can you book it for me?",1
"I need one more phone, not necessarily a smartphone.",1
I need it only to make calls.,1
"No, but it should be a Windows phone.",1
"Sure, I will go with it. Please book this one too.",1
"No, Thank You.",1
556,
"Good Morning, I am here to buy a smartphone.",0
"A few days back, I watched a commercial for a smartphone in the newspaper. I wonder if you have it.",2
"Sorry, I don't remember, buy I do have its photo. https://drop.ndtv.com/TECH/product_database/images/htc_u_ultra_3960_480X960_329201793557AM.png?downsize=*:180&output-quality=80&output-format=webp",2
Do you have any similar smartphones because it's too expensive for me to afford,2
What about the features of HTC 10 evo?,2
How much internal storage am I getting with this phone?,2
Do you have it in gold or silver colour?,2
I think I will go with this one. please book it for me.,2
Thank you so much for assisting me.,2
557,
Hello. I would like to explore the Apple tabs.,0
"Yes, I need a powerful tab for office work. So, having a powerful battery backup is must for me.",0
"Anything that can work for longer, the best one that you have in terms of battery backup.",1
The display should be of top-notch quality.,1
Which OS does it come with?,1
Which type of SIM can I use with it?,1
How much RAM is it offering?,1
0.004882 GB RAM is not enough. a minimum of 1 GB is a must.,1
How much RAM does it have?,1
How about its battery specs?,1
I think this is the one for me. please book it.,1
Thank you so much for assisting me.,1
558,
"Hello, I am looking to buy a Sony tab for my sister.",0
"Actually, she needs it primarily for her studies. I have also heard about IPads.",2
May I know about some of its features? Can she use it for her studies?,2
How is its battery?,2
How much data can I store in this tab?,2
May I know its price?,2
"I am going to buy it, but I also need a smartphone.",2
I am not sure. how are Apple smartphones?,2
than please suggest to me some of them.,2
What is its price?,2
Does it have a selfie camera?,2
I think I am going to buy only the tab for now.,2
Thank you so much for assisting me.,2
559,
Hi. Do you have a minute?,0
Do you have iPhones for sell?,0
than please suggest me a good iPhone.,1
"No, I don't know much about smartphones. Please tell me more about it.",1
Tell me about its display.,1
How do you rate the battery on this iPhone?,1
At what price can I get it?,1
"Okay, I am going to buy this iPhone.",1
I also need to buy a tab for my daughter.,1
"I have heard about this IPad mini 4, is this one good? https://drop.ndtv.com/TECH/product_database/images/910201514439AM_635_apple_ipad_mini_4_wi_fi.jpeg?downsize=*:180&output-quality=80&output-format=webp",1
How much is it going to cost?,1
"Okay, please pack both of these.",1
Thank you so much for assisting me.,1
560,
"Hey, do you have a mid-range camera?",0
I would spend between 250 to 350 EUR.,4
It has to be high maximum resolution and at least ample storage.,4
What is about dimensions and weight?,4
"Oh, That is too normal. Don't you have ample storage?",4
What is its price?,4
"OK, you keep the laptop also?",4
Show one with a 14- inch display and Intel processor.,4
I want ample storage. It should have 512 GB SSD.,4
"I have heard Dell, Acer and Apple are a good brand. I would pick it than. And, of course, show me in relevant price.",4
How much will it cost me?,4
Give me a discounted price?,4
"Fair, I will take these two from you. Do the billings.",4
Thank you.,4
561,
"Hello, I want to buy a smartphone which I saw at a party last night. buy, I don't know much more about this phone. Can you help me?",2
Yaa. I have only pictures of that phone. Here is that picture. https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDVRP8jdLxq1ftCOpSmzlBbJVUZEBRbbFnjw&usqp=CAU,2
"OK, Can you tell me much about their specifications and features?",2
What is about their RAM and internal RAM?,2
"Only 1 GB RAM. Oh, That is too normal. Don't you have large RAM? And also tell their model.",2
What is its colour?,2
"OK, That is nice. but What is about the other specifications?",2
Is it take a good picture?,2
"OK, That is too good. Can you show me?",2
Wow. That is too good. Please proceed with the Billing.,2
"NO: NO. You have to proceed only with this last model. Firstly, I want to buy Iconia One 8 B1:820. but, it is not impressive.",2
Thank you.,2
562,
"Hello, I am looking to buy a laptop for coding. Can you help me?",3
"It should have 1TB HDD graphics and Windows OS. My friend has an HP laptop, and I don't like it. So, please show me another brand.",3
"Great, what is its price?",3
"Oh, it is pretty expensive.",3
"But, I don't want to spend this much money. Can you show the same model buy with 4 GB RAM?",3
Do you have white laptops from different brands in a price range of 2000:3000 EUR?,3
Does it have Nvidia graphics?,3
Do you have a discount on these laptops?,3
I will wait till the next price drop.,3
"No, Thanks.",3
563,
"Hello, I have been looking for some good smartphones. Can you please help me?",0
"I need it for my brother. He needs it for his online classes. And also, he loves gaming.",3
"I think he will love a more prominent display. I'd say 10 inch, and much large will be fine.",3
"He is fond of gaming. So, it must have 2 GB of RAM. And also, he loves black colour.",3
How much is its battery capacity?,3
2700mAh only! It is disappointing. Please show me some with higher battery capacity.,3
"I'd prefer something with a higher battery. It should last for an entire day. Therefore, it must have a minimum of 4000 mAh battery capacity.",3
"Yes, I think this might do the job. What is its price?",3
What! Why is the price so high?,3
What will my son do with these extra features? Please show me some with affordable range.,3
I can spend up to 110 EUR.,3
I don't know if he will like it or not.,3
"Hmm, I guess I have to buy it. After all, it is for education.",3
"OK, I will take this one. Please proceed with the Billing.",3
Thanks for the assistance.,3
564,
"Hi, will you assist me in selecting an android phone?",0
"I want to gift it to my girl on her birthday. She is a selfie lover, so that that camera will be the main priority. Please look for 13MP.",2
She will love gold or black colour.,2
"I think display size will not be a point of concern. but yes, see for at least 5 inches.",2
"No, I don't have any budget constraints. I just want to give her a fabulous phone.",2
What are its other features?,2
"Oh, but RAM is significantly less. at least 4 GB is required.",2
What is its cost?,2
420 EUR? Is it a phone or laptop? It is too costly. I can spend a maximum of 300 EUR.,2
"No, it is still out of my pocket.",2
"OK, please book it for her, address is 43254785",2
"Yes, sure.",2
Thank you for the assistance.,2
565,
"Good Evening. I want to buy a laptop, but I don't know which laptop is best, can you help me buy a laptop?",4
It should be 15.6 inch large display size and better internal RAM and 1TB HDD disk space.,4
I have been buying other devices from Acer. I'd like to buy an Acer device now also.,4
What is about disk space?,4
Is 1TB HDD is suitable for daily use.?,4
What is its Graphics card?,4
What about its processor?,4
Is it a great option for me?,4
"One more critical thing, What is its price?",4
"OK, it will do the job. Can you please do the Billing? And also please give some discount.",4
"OK, than please proceed Billing.",4
Thank you.,4
566,
"Hi, can you suggest a good camera?",0
I need a camera which is lightweight and captures beautiful pictures.,1
Amazing! I would like to know more about the Casio Exilim EX: S500.,1
Will this be a good birthday gift?,1
Tell me a little bit more about this one.,1
What is about the Normal focus range?,1
Will the Casio Exilim EX: S600 be a better choice than Casio Exilim EX: S500?,1
What about their prices?,1
Woah! That is a lot of money for both. but I want those which gives high-resolution photos.,1
I will take the Casio Exilim EX: S600. My friend would be pretty happy with my selection.,1
"OK, than, please proceed with Billing.",1
Ok! Dont mind,1
Amazing. Thank you for your time and assistance.,1
567,
Good afternoon.Can you help me?,0
I want to buy a smartphone that is currently in trend. Can you show me that type of phone?,2
It should be an android and 4G phone with dual sim feature.,2
Please explain their other specifications and features?,2
"OK, That is great. What is its colour?",2
"Yaa, but I have to look at another model, than choose which one is better?",2
"OK, And What is about their internal RAM and colour?",2
What do you think which one is better?,2
"OK, than please proceed with Billing.",2
No: No. you have to only proceed with Billing of Zenfone 3 Zoom ZE553KL.,2
"Yes, sure.",2
Thank you for the assistance.,2
568,
"Hello, I want to buy a smartphone which I had to see at a party last night. buy, I don't know much more about this phone. Can you help me?",4
Yaa. I have only pictures of that phone. Here is that picture. https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg,4
"OK, Can you tell me much about their specifications and features?",4
What is about their RAM and internal RAM?,4
"Only 0.004882813 GB RAM. Oh, That is too normal. And it also has less battery. Don't you have large RAM? And also tell their model.",4
"Yaa, I trusted only Asus Brand.",4
What is its colour?,4
"OK, That is nice. but What is about other specifications?",4
Is it take a good picture?,4
"OK, That is too good. Can you show me?",4
Wow. That is too good. Please proceed with Billing.,4
"NO: NO. You have to proceed only with this last model. Firstly, I want to buy the phone which I show you. buy, it is not impressive.",4
Thank you.,4
569,
"Hiii, Can you help me?",0
I want to purchase a smartphone.Can you show me some good phones?,0
"I never purchase any phone, so I have less idea about brand and specifications. Can you help me?",4
"It should have a strong battery backup, most essential large internal memory because I always have a storage problem. My storage is always packed in my current phone.",4
What is the brand?,4
Okay. What is the colour?,4
"Great. Please, proceed and book this for me.",4
"Yes, sure.",4
Thank you for the assistance.,4
570,
I want to buy a laptop that is currently in trend. Can you show me that type of laptop?,2
Should it have a large display size and intel processor?,2
"Yes, I only trust on HP brand.",2
"OK, That is great. What is about disk space?",2
Tell me a little bit more about this one.,2
Just 3! Can you show a phone with a user rating of 4?,2
What is about graphics-card?,2
Is 1TB HDD is suitable for daily use.?,2
"OK, than, please proceed with billing.",2
Even better.,2
Amazing. Thank you for your time and assistance.,2
571,
"Hello, I have been looking for some good smartphones. Can you please help me?",0
"My family condition is deplorable. So, I want the best mobile on a low budget. Not more than 200 EUR.",2
Should it be an android and 4G or 5G phone and also a dual sim?,2
Tell me a bit about their camera and other specifications.,2
Is it take a good picture?,2
That is nice. What is about the price?,2
"OK, That is great. What is its colour?",2
Please explain their other specifications and features?,2
Can you show me their photos?,2
"OK, than, please proceed with Billing.",2
Even better.,2
Amazing. Thank you for your time and assistance.,2
572,
"Good Evening, can you help me in buying a tablet?",0
"I am planning to buy a tablet, so could you please help me with that.",0
"I am using the HP brand these days, but I am not satisfied with its features.",4
"Wow, That is good. It has excellent battery backup. Tell me in detail about other specifications.",4
"OK, That is great. What is its colour?",4
That is perfect. Could you please tell me the price of this phone and the mode of payment?,4
Do you have laptops from different brands in a price range of 2000-4000 EUR?,4
Does it have Nvidia graphics?,4
Do you have a discount on these laptops?,4
I will wait till the next price drop.,4
"No, Thanks. You have to proceed only with the Billing of the tablet.",4
Thank you for your time and assistance.,4
573,
"Good morning, I want to purchase a LG smartphone. Will you help me to choose better one?",0
Can you suggest me a good model?,4
Tell me about its camera quality and colour.,4
"Well! I am a good photographer,13 mexapixel is not sufficent for me.",4
"Well, I don't think those people know anything about photography or so.",4
"Okay, and what about its battery backup ? I want a phone with good battery backup.",4
How much is it going to cost me?,4
"Okay then, I will trust your advice and take this phone with me.",4
"Yes, I want to purchase this one.",4
"No, I will come later.",4
Your welcome.,4
574,
"Hey, I am looking for a smartphone, will you assist me?",0
I want a phone with atleast 15 megapixel camera. I am a professional photographer. I believe my phone should atleast have 15 megapixel camera.,3
"I have a budget of 300 EUR, Is there any phone available in this range?",3
I want to go with LG. Can you tell me the more features of LG V10 Smart phone?,3
"Actually, I spent my most of my time on phones, and having 3000MAH battery is not enough for me.",3
"Still, I am in doubt it will run a day long.",3
"Okay, what about its camera quality?",3
"Well! it statisfied my camera requirement, I want to know about its colour.",3
"Okay! light weight phones are in quite demand. One more thing, I want to know what is its RAM?",3
"I have to work on more than one platform at one time, do you think having 4GB RAM is enough?",3
Good! How much it will cost to me?,3
Great! it is in my budget. Can you book it for me?,3
Thankyou so much for helping me.,3
575,
"Good evening, can you help me to buy a smartphone?",0
"My previous smartphone had 2GB RAM, this time I want phone with 4GB RAM.",4
"My previous phone was of Gionee, and it was trustable phone, Can you show me some from Gionee?",4
What is its colour?,4
"I like only this colour smartphone, do you have this colour ? https://www. maxbhi.com/images/thumbnails/400/400/detailed/2157/full_body_housing_for_zopo_colour_f5_gold_maxbhi.com_95856.jpg",4
What about its feautures weather it is same as model A1 or differnent?,4
"Okay, how much it is going to cost me?",4
I think it is very expensive for me.,4
I don't think it is a fair deal for me.,4
Is that so? Tell me about its camera quality because my previous phone clicked good picture.,4
Well it sounds good for me. Now I am ready to proceed with billing.,4
"No, I want to purchase this only.",4
Thank you so much.,4
576,
"Hi, I want to purchase a smartphone. Will you guide me to choose better one?",0
I want it to gift my son. He is a good mobile photographer. I am looking for a phone with good camera for him.,2
I don't have much ideas about phones. I just want a very good phone for him.,2
My son is a good photographer. He wants to make his carrier in photography. He spends more time in clicking pictures.,2
My son's favourite colour is black. If it is available in black colour it is good for him.,2
"No, he likes only black colour. I do not think he will like to go with Gunmetal colour.",2
What are the features of this phone?,2
Now this is perfect for my son.,2
"No, I am statisfied with this, will you please proceed with booking?",2
Thanks for assisting me.,2
577,
Good morning. I am looking for a smartphone.,0
"Yes, I want to go with Micromax.",3
"Yes, it must have 3 GB RAM, and good battery backup.",3
"I want worthy product, show me all the three smartphones.",3
Sound's impressive. Show me the other two also.,3
I want to go with Microsoft Lumia 950 XL D. Tell me the features of this phone.,3
Okay. But 5 Megapixel seconday camera is not good quality in my opinion.,3
Still. I am in doubt it will click good picture or not? because I want a phone with good camera qualty.,3
Okay. I trust you. But 3340 battery is also not enough?,3
And what about its colour?,3
"Wow! it is my favourite colour, what about its display size.",3
Well! this statisfy my all requirement. I want to proceed with billing,3
No.Thankyou so much .,3
578,
Good morning.,0
I am looking for a smartphone for my sister.,4
"She does'nt have any ideas about smartphone. But she wants android phone for online classes.
Show me some model which have good display size.",4
"According to my views, 369 display size is litte less for her.",4
Now it is good for her. Tell me the more features of this phones.,4
Okay. What is it cost?,4
It is out of my budegt. Is there any discount available on this phone?,4
